date,equity,daily_pnl,drawdown,source
2026-04-24,-13132.7901,-13132.7901,-13132.7901,closed_positions
2026-04-25,-90236.4979,-77103.7078,-90236.4979,closed_positions
2026-04-26,-90768.1531,-531.6552,-90768.1531,closed_positions
2026-04-27,-181123.1221,-90354.969,-181123.1221,closed_positions
2026-04-28,-253190.4766,-72067.3545,-253190.4766,closed_positions
2026-04-29,-240598.8213,12591.6553,-240598.8213,closed_positions
2026-04-30,-238029.7183,2569.103,-238029.7183,closed_positions
2026-05-05,-414488.5258,-176458.8075,-414488.5258,closed_positions
2026-05-06,-404172.0884,10316.4374,-404172.0884,closed_positions
2026-05-07,-518390.0526,-114217.9642,-518390.0526,closed_positions
2026-05-08,-459470.6404,58919.4122,-459470.6404,closed_positions
2026-05-09,-412959.1414,46511.499,-412959.1414,closed_positions
2026-05-10,-394105.5544,18853.587,-394105.5544,closed_positions
2026-05-11,-449327.0837,-55221.5293,-449327.0837,closed_positions
2026-05-12,-449622.3745,-295.2908,-449622.3745,closed_positions
2026-05-13,-371915.5938,77706.7807,-371915.5938,closed_positions
2026-05-14,-222396.1059,149519.4879,-222396.1059,closed_positions
2026-05-15,-214882.8194,7513.2865,-214882.8194,closed_positions
2026-05-16,-224015.0711,-9132.2517,-224015.0711,closed_positions
2026-05-17,-211710.8146,12304.2565,-211710.8146,closed_positions
2026-05-18,-141898.6051,69812.2095,-141898.6051,closed_positions
2026-05-19,-159218.8364,-17320.2313,-159218.8364,closed_positions
2026-05-20,-131839.6408,27379.1956,-131839.6408,closed_positions
2026-05-21,-100905.3668,30934.274,-100905.3668,closed_positions
2026-05-22,5664.3309,106569.6977,0.0,closed_positions
2026-05-23,75094.517,69430.1861,0.0,closed_positions
2026-05-24,120974.2661,45879.7491,0.0,closed_positions
2026-05-25,104847.166,-16127.1001,-16127.1001,closed_positions
2026-05-26,149787.5028,44940.3368,0.0,closed_positions
2026-05-27,300648.7739,150861.2711,0.0,closed_positions
2026-05-28,198112.7412,-102536.0327,-102536.0327,closed_positions
2026-05-29,194413.9737,-3698.7675,-106234.8002,closed_positions
2026-05-30,250800.9789,56387.0052,-49847.795,closed_positions
2026-05-31,359084.5761,108283.5972,0.0,closed_positions
2026-06-01,492476.0847,133391.5086,0.0,closed_positions
