date,equity,daily_pnl,drawdown,source
2026-03-12,144.531,144.531,0.0,cashflow_activity
2026-03-13,222.8381,78.3071,0.0,cashflow_activity
2026-03-14,394.5688,171.7307,0.0,cashflow_activity
2026-03-15,505.5079,110.9391,0.0,cashflow_activity
2026-03-16,511.6781,6.1702,0.0,cashflow_activity
2026-03-17,1116.6317,604.9536,0.0,cashflow_activity
2026-03-18,1572.7409,456.1092,0.0,cashflow_activity
2026-03-19,1660.7883,88.0474,0.0,cashflow_activity
2026-03-20,1836.7716,175.9832,0.0,cashflow_activity
2026-03-21,2461.27,624.4984,0.0,cashflow_activity
2026-03-22,3131.2138,669.9438,0.0,cashflow_activity
2026-03-23,3142.7952,11.5814,0.0,cashflow_activity
2026-03-24,3178.3595,35.5643,0.0,cashflow_activity
2026-03-25,3224.2564,45.8969,0.0,cashflow_activity
2026-03-26,3590.4454,366.189,0.0,cashflow_activity
2026-03-27,3755.3248,164.8794,0.0,cashflow_activity
2026-03-28,3852.837,97.5122,0.0,cashflow_activity
2026-03-29,4038.4876,185.6505,0.0,cashflow_activity
2026-03-30,4053.533,15.0454,0.0,cashflow_activity
2026-03-31,4581.856,528.323,0.0,cashflow_activity
2026-04-01,4766.7093,184.8534,0.0,cashflow_activity
2026-04-02,5191.8271,425.1177,0.0,cashflow_activity
2026-04-03,5920.3549,728.5278,0.0,cashflow_activity
2026-04-04,7956.8733,2036.5184,0.0,cashflow_activity
2026-04-05,9139.5992,1182.7259,0.0,cashflow_activity
2026-04-06,9522.1146,382.5154,0.0,cashflow_activity
2026-04-07,9761.3424,239.2278,0.0,cashflow_activity
2026-04-08,10171.0063,409.6639,0.0,cashflow_activity
2026-04-09,10514.6473,343.641,0.0,cashflow_activity
2026-04-10,10787.5597,272.9124,0.0,cashflow_activity
2026-04-11,13020.4416,2232.8819,0.0,cashflow_activity
2026-04-12,14344.608,1324.1664,0.0,cashflow_activity
2026-04-13,14940.948,596.3401,0.0,cashflow_activity
2026-04-14,15821.6372,880.6891,0.0,cashflow_activity
2026-04-15,15998.574,176.9368,0.0,cashflow_activity
2026-04-16,16602.5496,603.9757,0.0,cashflow_activity
2026-04-17,17374.7004,772.1508,0.0,cashflow_activity
2026-04-18,19282.8032,1908.1028,0.0,cashflow_activity
2026-04-19,20901.6566,1618.8534,0.0,cashflow_activity
2026-04-20,21471.9874,570.3308,0.0,cashflow_activity
2026-04-21,21812.3822,340.3948,0.0,cashflow_activity
2026-04-22,21934.2091,121.827,0.0,cashflow_activity
2026-04-23,22270.8346,336.6255,0.0,cashflow_activity
2026-04-24,22769.6164,498.7818,0.0,cashflow_activity
2026-04-25,23014.7385,245.1221,0.0,cashflow_activity
2026-04-26,23996.019,981.2805,0.0,cashflow_activity
2026-04-27,24668.4825,672.4634,0.0,cashflow_activity
2026-04-28,24987.7983,319.3158,0.0,cashflow_activity
2026-04-29,25001.6828,13.8845,0.0,cashflow_activity
2026-04-30,25483.3878,481.705,0.0,cashflow_activity
2026-05-01,25701.113,217.7252,0.0,cashflow_activity
2026-05-02,27317.8299,1616.7169,0.0,cashflow_activity
2026-05-03,27722.3402,404.5103,0.0,cashflow_activity
2026-05-04,27742.3339,19.9937,0.0,cashflow_activity
2026-05-05,27886.8675,144.5336,0.0,cashflow_activity
2026-05-06,27970.248,83.3805,0.0,cashflow_activity
2026-05-07,27994.2429,23.995,0.0,cashflow_activity
2026-05-08,27956.9196,-37.3234,-37.3234,cashflow_activity
2026-05-09,28214.0796,257.16,0.0,cashflow_activity
2026-05-10,28286.1441,72.0645,0.0,cashflow_activity
