date,equity,daily_pnl,drawdown,source
2026-07-12,0.0,0.0,0.0,cashflow_activity
2026-07-16,-181065.7547,-181065.7547,-181065.7547,cashflow_activity
2026-07-17,-57214.132,123851.6228,-57214.132,cashflow_activity
2026-07-18,68489.0605,125703.1925,0.0,cashflow_activity
2026-07-19,31311.4913,-37177.5692,-37177.5692,cashflow_activity
2026-07-20,87604.7583,56293.267,0.0,cashflow_activity
2026-07-21,71844.5481,-15760.2103,-15760.2103,cashflow_activity
2026-07-22,-299259.2387,-371103.7868,-386863.997,cashflow_activity
2026-07-23,82228.1497,381487.3885,-5376.6086,cashflow_activity
2026-07-24,-77614.2539,-159842.4036,-165219.0122,cashflow_activity
2026-07-25,-294560.9179,-216946.6641,-382165.6763,cashflow_activity
2026-07-26,336079.8237,630640.7417,0.0,cashflow_activity
2026-07-27,337014.2787,934.455,0.0,cashflow_activity
2026-07-28,-259828.8019,-596843.0806,-596843.0806,cashflow_activity
2026-07-29,169030.3377,428859.1395,-167983.9411,cashflow_activity
