date,equity,daily_pnl,drawdown,source
2021-10-01,0.8507,0.8507,0.0,closed_positions
2021-11-05,0.8999,0.0492,0.0,closed_positions
2021-11-06,0.8999,0.0,0.0,closed_positions
2021-11-08,0.9,0.0001,0.0,closed_positions
2021-11-09,4.8578,3.9578,0.0,closed_positions
2021-11-11,4.8578,0.0,0.0,closed_positions
2021-11-12,4.9616,0.1038,0.0,closed_positions
2021-11-13,4.9616,0.0,0.0,closed_positions
2021-11-14,4.9616,0.0,0.0,closed_positions
2021-11-15,4.9617,0.0001,0.0,closed_positions
2021-11-16,5.8079,0.8462,0.0,closed_positions
2021-11-17,-25.593,-31.4009,-31.4009,closed_positions
2021-11-18,-25.5929,0.0001,-31.4008,closed_positions
2021-11-19,-64.7094,-39.1165,-70.5173,closed_positions
2021-11-20,-64.7094,0.0,-70.5173,closed_positions
2021-11-21,-64.7093,0.0001,-70.5172,closed_positions
2021-11-24,-93.9599,-29.2506,-99.7678,closed_positions
2021-11-25,-93.9598,0.0001,-99.7677,closed_positions
2021-11-26,-93.974,-0.0142,-99.7819,closed_positions
2021-11-27,-103.0461,-9.0721,-108.854,closed_positions
2021-11-29,-103.6793,-0.6332,-109.4872,closed_positions
2021-11-30,-103.6793,0.0,-109.4872,closed_positions
2021-12-01,-114.7952,-11.1159,-120.6031,closed_positions
2021-12-02,-119.07,-4.2748,-124.8779,closed_positions
2021-12-03,-119.0699,0.0001,-124.8778,closed_positions
2021-12-04,-231.2355,-112.1656,-237.0434,closed_positions
2021-12-08,-204.9909,26.2446,-210.7988,closed_positions
2021-12-09,-216.0734,-11.0825,-221.8813,closed_positions
2021-12-17,-215.2843,0.7891,-221.0922,closed_positions
2021-12-22,-215.2842,0.0001,-221.0921,closed_positions
2021-12-23,-350.5728,-135.2886,-356.3807,closed_positions
2021-12-26,-350.5727,0.0001,-356.3806,closed_positions
2021-12-31,-350.5727,0.0,-356.3806,closed_positions
2022-01-01,-354.0006,-3.4279,-359.8085,closed_positions
2022-01-02,-354.0006,0.0,-359.8085,closed_positions
2022-01-03,-454.0156,-100.015,-459.8235,closed_positions
2022-01-12,-454.7465,-0.7309,-460.5544,closed_positions
2022-01-14,-454.7465,0.0,-460.5544,closed_positions
2022-01-15,-454.7463,0.0002,-460.5542,closed_positions
2022-02-01,-454.7463,0.0,-460.5542,closed_positions
2022-02-02,-454.8331,-0.0868,-460.641,closed_positions
2022-02-03,-454.833,0.0001,-460.6409,closed_positions
2022-02-04,-454.8662,-0.0332,-460.6741,closed_positions
2022-02-07,-454.8662,0.0,-460.6741,closed_positions
2022-02-08,-454.8662,0.0,-460.6741,closed_positions
2022-02-10,-454.866,0.0002,-460.6739,closed_positions
2022-02-11,-454.866,0.0,-460.6739,closed_positions
2022-02-13,-454.866,0.0,-460.6739,closed_positions
2022-02-14,-454.866,0.0,-460.6739,closed_positions
2022-02-17,-454.866,0.0,-460.6739,closed_positions
2022-02-18,-454.8659,0.0001,-460.6738,closed_positions
2022-02-20,-454.941,-0.0751,-460.7489,closed_positions
2022-02-24,-454.941,0.0,-460.7489,closed_positions
2022-02-25,-454.941,0.0,-460.7489,closed_positions
