date,equity,daily_pnl,drawdown,source
2025-08-07,0.6,0.6,0.0,closed_positions
2025-08-08,5.9282,5.3282,0.0,closed_positions
2025-08-09,-7.9646,-13.8928,-13.8928,closed_positions
2025-08-13,-7.4706,0.494,-13.3988,closed_positions
2025-08-14,-24.4674,-16.9968,-30.3956,closed_positions
2025-08-20,-52.4867,-28.0193,-58.4149,closed_positions
2025-08-21,-62.3667,-9.88,-68.2949,closed_positions
2025-09-10,71.619,133.9857,0.0,closed_positions
2025-09-11,1158.5936,1086.9746,0.0,closed_positions
2025-09-12,876.3112,-282.2824,-282.2824,closed_positions
2025-09-13,876.3601,0.0489,-282.2335,closed_positions
2025-09-16,890.9601,14.6,-267.6335,closed_positions
2025-09-17,897.8601,6.9,-260.7335,closed_positions
2025-09-20,888.8601,-9.0,-269.7335,closed_positions
2025-09-21,895.1001,6.24,-263.4935,closed_positions
2025-09-25,1513.2222,618.1221,0.0,closed_positions
2025-09-26,1081.7654,-431.4568,-431.4568,closed_positions
2025-09-27,648.3046,-433.4608,-864.9176,closed_positions
2025-09-28,911.5776,263.273,-601.6446,closed_positions
2025-09-29,1142.0464,230.4688,-371.1758,closed_positions
2025-10-03,1091.1002,-50.9462,-422.122,closed_positions
2025-10-04,778.5199,-312.5803,-734.7023,closed_positions
2025-10-05,685.1028,-93.4171,-828.1194,closed_positions
2025-10-06,564.5733,-120.5295,-948.6489,closed_positions
2025-10-07,360.4648,-204.1085,-1152.7574,closed_positions
2025-10-08,-1948.2232,-2308.688,-3461.4454,closed_positions
2025-10-09,-8316.2253,-6368.0021,-9829.4475,closed_positions
2025-10-10,34969.9259,43286.1512,0.0,closed_positions
2025-10-11,17389.3836,-17580.5423,-17580.5423,closed_positions
2025-10-12,54974.607,37585.2234,0.0,closed_positions
2025-10-13,67777.1344,12802.5274,0.0,closed_positions
2025-10-14,28833.9111,-38943.2233,-38943.2233,closed_positions
2025-10-15,37569.7065,8735.7954,-30207.4279,closed_positions
2025-10-16,32089.7235,-5479.983,-35687.4109,closed_positions
2025-10-17,12878.1761,-19211.5474,-54898.9583,closed_positions
2025-10-18,17390.7033,4512.5272,-50386.4311,closed_positions
2025-10-19,26867.9311,9477.2278,-40909.2033,closed_positions
2025-10-20,39531.412,12663.4809,-28245.7224,closed_positions
2025-10-21,49310.2814,9778.8694,-18466.853,closed_positions
2025-10-22,48020.3539,-1289.9275,-19756.7805,closed_positions
2025-10-23,66455.2662,18434.9123,-1321.8682,closed_positions
2025-10-24,78018.9354,11563.6692,0.0,closed_positions
2025-10-25,97079.4101,19060.4747,0.0,closed_positions
2025-10-26,111415.9571,14336.547,0.0,closed_positions
2025-10-27,131806.4927,20390.5356,0.0,closed_positions
2025-10-28,152495.7184,20689.2257,0.0,closed_positions
2025-10-29,153181.8144,686.096,0.0,closed_positions
2025-10-30,114499.0464,-38682.768,-38682.768,closed_positions
2025-10-31,125409.0558,10910.0094,-27772.7586,closed_positions
2025-11-01,219123.9941,93714.9383,0.0,closed_positions
2025-11-02,160724.0575,-58399.9366,-58399.9366,closed_positions
2025-11-03,324489.3465,163765.289,0.0,closed_positions
2025-11-04,281217.8258,-43271.5207,-43271.5207,closed_positions
2025-11-05,224018.5689,-57199.2569,-100470.7776,closed_positions
2025-11-06,163955.4819,-60063.087,-160533.8646,closed_positions
2025-11-07,250665.5687,86710.0868,-73823.7778,closed_positions
2025-11-08,284038.305,33372.7363,-40451.0415,closed_positions
2025-11-09,422725.1742,138686.8692,0.0,closed_positions
2025-11-10,423619.482,894.3078,0.0,closed_positions
2025-11-11,346601.3575,-77018.1245,-77018.1245,closed_positions
2025-11-12,357470.2743,10868.9168,-66149.2077,closed_positions
2025-11-13,308348.422,-49121.8523,-115271.06,closed_positions
2025-11-14,284463.0007,-23885.4213,-139156.4813,closed_positions
2025-11-15,365500.0887,81037.088,-58119.3933,closed_positions
2025-11-16,373458.7889,7958.7002,-50160.6931,closed_positions
2025-11-17,322154.4745,-51304.3144,-101465.0075,closed_positions
2025-11-18,291250.7298,-30903.7447,-132368.7522,closed_positions
2025-11-19,338491.1096,47240.3798,-85128.3724,closed_positions
2025-11-20,526690.4744,188199.3648,0.0,closed_positions
2025-11-21,488790.3816,-37900.0928,-37900.0928,closed_positions
2025-11-22,132902.6554,-355887.7262,-393787.819,closed_positions
2025-11-23,134905.1367,2002.4813,-391785.3377,closed_positions
2025-11-24,256133.1506,121228.0139,-270557.3238,closed_positions
2025-11-25,325633.3153,69500.1647,-201057.1591,closed_positions
2025-11-26,272209.9657,-53423.3496,-254480.5087,closed_positions
2025-11-27,389705.1763,117495.2106,-136985.2981,closed_positions
2025-11-28,428031.3179,38326.1416,-98659.1565,closed_positions
2025-11-29,446501.7893,18470.4714,-80188.6851,closed_positions
2025-11-30,428083.624,-18418.1653,-98606.8504,closed_positions
2025-12-01,380041.6945,-48041.9295,-146648.7799,closed_positions
